irrad,tmin,tmax,vap,wind,rain,snowdepth
28000.0,26.9,26.9,1.1,2.8,2.4,-999
Irrad_value,Temp_value,TWSO_harvest_value
22126.32,2.68,91.39478661777603
22126.32,4.54,1701.187122731852
22126.32,6.41,6024.703650734123
22126.32,8.27,10483.778750346073
22126.32,10.13,11711.70395546548
22126.32,11.99,11574.536055149
22126.32,13.86,10954.527648315863
22126.32,15.72,10130.609981122565
22126.32,17.58,9318.357622267256
22126.32,19.45,8539.911168040528
22126.32,21.31,7942.33407420435
22126.32,23.17,7267.777932346773
22126.32,25.04,6657.400970378396
22126.32,26.9,6035.18324915977
23594.74,-8.5,0.0
23594.74,-6.64,0.0
23594.74,-4.77,0.0
23594.74,-2.91,0.0
23594.74,-1.05,0.0
23594.74,0.82,0.0
23594.74,2.68,93.93403776999753
23594.74,4.54,1735.609279573842
23594.74,6.41,6134.678987635082
23594.74,8.27,10602.160369049974
23594.74,10.13,11744.430221170856
23594.74,11.99,11600.34681352829
23594.74,13.86,11038.764043142075
23594.74,15.72,10235.63918035015
23594.74,17.58,9427.376398806042
23594.74,19.45,8645.57949475286
23594.74,21.31,8041.190570042616
23594.74,23.17,7362.569129624716
23594.74,25.04,6747.198396317254
23594.74,26.9,6115.979060295062
25063.16,-8.5,0.0
25063.16,-6.64,0.0
25063.16,-4.77,0.0
25063.16,-2.91,0.0
25063.16,-1.05,0.0
25063.16,0.82,0.0
25063.16,2.68,96.30701627786036
25063.16,4.54,1771.9476192706895
25063.16,6.41,6257.700619992514
25063.16,8.27,10732.957808476509
25063.16,10.13,11778.344642166958
25063.16,11.99,11573.22314165563
25063.16,13.86,11059.870810760542
25063.16,15.72,10280.93062828236
25063.16,17.58,9478.90819894562
25063.16,19.45,8695.53978511522
25063.16,21.31,8085.772233132099
25063.16,23.17,7404.567931124795
25063.16,25.04,6785.937409307602
25063.16,26.9,6148.6298545701575
26531.58,-8.5,0.0
26531.58,-6.64,0.0
26531.58,-4.77,0.0
26531.58,-2.91,0.0
26531.58,-1.05,0.0
26531.58,0.82,0.0
26531.58,2.68,98.53588353756001
26531.58,4.54,1810.011040475013
26531.58,6.41,6391.49404631134
26531.58,8.27,10881.869770458017
26531.58,10.13,11828.046294515776
26531.58,11.99,11522.369540673086
26531.58,13.86,11016.732652625315
26531.58,15.72,10265.384325785102
26531.58,17.58,9471.466230307711
26531.58,19.45,8688.00947899773
26531.58,21.31,8074.360630134812
26531.58,23.17,7391.736716871487
26531.58,25.04,6771.496755569905
26531.58,26.9,6131.155971555133
28000.0,-8.5,0.0
28000.0,-6.64,0.0
28000.0,-4.77,0.0
28000.0,-2.91,0.0
28000.0,-1.05,0.0
28000.0,0.82,0.0
28000.0,2.68,100.63828511048287
28000.0,4.54,1849.6132570583402
28000.0,6.41,6533.346140071964
28000.0,8.27,11055.84850569181
28000.0,10.13,11901.032593257189
28000.0,11.99,11472.622353427892
28000.0,13.86,10913.477128459015
28000.0,15.72,10186.125105555897
28000.0,17.58,9403.828267324776
28000.0,19.45,8624.603459473608
28000.0,21.31,8011.8549671624605
28000.0,23.17,7331.17502952101
28000.0,25.04,6713.552199960784
28000.0,26.9,6073.078400019936
